,tconst,Title,Score,NormalisedScore,Year,wordcount,totalemotion,Emotional Expression,Pos-Neg,Agressiveness,Anger,Anticipation,Awe,Contempt,Disgust,Dissaproval,Fear,Joy,Love,Negative,Optimism,Positive,Remorse,Sadness,Submission,Surprise,Trust,AFINN(-4&-5),Ero,directors
63,tt0118799, Life is Beautiful 1997 EXTENDED 1080p BluRay x264 DTS CHD  ,8.6,80.85106383,1997,4011.0,1671.0,58.02612422,65.22911235,3.28845003,15.59251143,43.463358899999996,14.29360586,20.69858873,16.94368835,13.06738074,23.26374232,33.68392895,32.72267048,27.718825399999997,34.24827408,38.1863855,8.67498602,23.22522189,9.625244634,34.50648905,31.368303899999997,2.456045124,14.47443277,Roberto Benigni
64,tt0017136, Metropolis 1927 Universum Film  ,8.2,72.34042553,1927,1553.0,532.0,37.769271200000006,56.01621613,12.39473684,16.90470689,20.90225564,16.16252169,31.02931379,23.03541111,34.72983306,19.42343003,14.87014078,7.111849502,34.38782768,7.978696273,28.17761758,15.1377419,32.47797065,2.748425117,8.995195247,31.20326625,0.612093672,13.56067883,Fritz Lang
65,tt0053125, North by Northwest (1959)  es en xvid ac3 hd rip en  ,8.3,74.46808511,1959,4986.0,1807.0,43.20052701,60.92737658,6.081903708,18.31143343,40.12778588,14.80396748,19.14075361,16.13617295,26.95637493,23.45855184,28.47488246,30.24433966,36.32531963,24.91230044,40.67426471,12.47879376,28.902902,8.091655573999999,32.71440645,46.20207092,0.332268463,3.319280496,Alfred Hitchcock
66,tt0054215, Psycho 1960 UNCUT 1080p BluRay x264 CREEPSHOW  ,8.5,78.72340426,1960,3733.0,1448.0,50.17072278,55.10761934,18.21546961,21.6887622,40.44198895,7.917552061,24.42915589,21.88780966,12.75985579,26.40584212,35.74074915,43.89313121,42.05078258,33.76987346,36.32398917,16.31419256,43.24701286,18.17604898,16.6124881,44.81546237,0.178702794,6.419683877000001,Alfred Hitchcock
67,tt0047396, Rear Window 1954 by Hitchcock 720p x264 AAC MULTISUB mkv Zen Bud  ,8.4,76.59574468,1954,4530.0,1704.0,46.96076422,56.35039337,10.31924883,16.97303166,34.38326931,17.94149512,17.06855054,14.38361351,26.614347100000003,24.64641063,19.55364144,18.87722922,30.68311589,13.573218599999999,24.02584176,11.02757254,22.69479569,6.006534704,26.48076015,27.56183259,0.124383409,1.652485432,Alfred Hitchcock
68,tt0052357, Vertigo 1958 1080p BluRay X264 AMIABLE  ,8.3,74.46808511,1958,3815.0,1377.0,42.79804739,58.97962225,11.97167756,17.58110726,41.22664554,18.73303167,25.11789526,23.01637501,21.95635316,27.90141877,35.09263859,25.69759114,37.33423263,17.40661722,38.03539744,15.59579509,35.84356261,9.556615439,22.65315581,30.72205127,0.172066677,2.651575616,Alfred Hitchcock
69,tt0364569, Oldboy 2003 REMASTERED 1080p BluRay x264 USURY  ,8.3,74.46808511,2003,2853.0,1222.0,61.23167578,52.31735783,10.79214403,25.25710287,24.71358429,9.38184565,33.4500404,25.58998997,12.37066215,34.97112451,26.73204789,25.11178565,44.83333802,13.66498897,34.28716186,18.45268439,42.30532481,8.375724332999999,15.47910234,38.36539256,20.06854668,41.74605448,Chan-wook Park
70,tt0119698, Princess Mononoke 1997 HMC (1080p Bluray x265 HEVC 10bit AAC 5 1 English Tigole)  ,8.4,76.59574468,1997,4628.0,2065.0,66.12232689,48.34291173,12.77288136,30.70849478,29.59718248,12.49171168,36.16330033,33.97016324,17.89469364,68.13244113,24.21901855,28.07022309,56.38188838,19.26293491,41.27536063,20.79942841,42.62540954,31.86309796,13.80936192,42.08376943,1.862236812,7.978020215,Hayao Miyazaki
71,tt0245429, Spirited Away 2001 1080p BluRay X264 AMIABLE en  ,8.5,78.72340426,2001,2734.0,1108.0,54.92437111,62.75750315,3.967509025,13.13944458,28.17853627,5.173562898999999,19.86473518,27.841504600000004,4.547818638,24.07699276,21.60849536,24.6205576,34.78490141,16.06709352,42.38134819,12.11383678,28.34560557,10.55712752,21.30865984,30.76078264,0.291516459,11.00306272,Hayao Miyazaki
72,tt0180093, Requiem For A Dream Directors Cut DVDRip DivX QiX  ,8.3,74.46808511,2000,3521.0,1194.0,36.82414258,69.46634693,11.96566164,23.74656883,57.11892797,12.00231929,34.23446346,24.06656941,14.067512699999998,15.6589279,51.98401389,47.70184117,32.04943637,48.12352989,52.43499859,10.79166323,19.97041907,19.59346281,52.05584238,54.81350969,25.72908401,41.638441799999995,Darren Aronofsky
