,tconst,Title,Score,NormalisedScore,Year,wordcount,totalemotion,Emotional Expression,Pos-Neg,Agressiveness,Anger,Anticipation,Awe,Contempt,Disgust,Dissaproval,Fear,Joy,Love,Negative,Optimism,Positive,Remorse,Sadness,Submission,Surprise,Trust,AFINN(-4&-5),Ero
110,tt0120338, Titanic  ,7.8,63.82978723,1997,6085,2666,63.91433236,62.58188043,9.893473368,14.51011068,36.32408102,8.242252871,20.0499492,16.48476635,11.340547,16.16499505,26.81732207,25.39154305,29.22253291,21.02953493,34.77256771,8.65943945,17.77167987,19.74412522,17.8751712,36.99748723,7.635578932,11.91700594
111,tt0056592, to Kill A Mockingbird  ,8.2,72.34042553,1962,4158,1604,49.58814796,56.22940353,19.18453865,25.31240246,47.27726139,17.27316325,19.11281922,19.75907007,15.70755315,32.56117983,22.57920708,24.96121963,38.84254352,23.69688726,34.41849986,12.71922652,27.27546201,9.115724203,30.24203875,54.41877634,2.364617925,6.666959036
112,tt2475692, Toy Story (1995)  ,8.3,74.46808511,1995,4901,2108,61.72283046,61.55288878,3.64943074,29.85620565,49.87062274,25.83345497,24.98438739,29.06745424,7.171228251,53.23126957,26.42863062,22.44093506,40.50459464,14.45206537,47.39311976,9.678197032,19.356551,4.161751885,42.76551987,24.01519035,0.105123966,2.936955928
113,tt2160857, Toy Story 3 (2010)  ,8.2,72.34042553,2010,4968,1926,50.11310068,58.88741248,5.135514019,18.36556574,37.29443972,15.87347232,16.32556489,24.13492781,9.593079536,39.39130904,28.6994607,19.98309878,36.72426462,16.08858461,37.05291668,15.6103706,27.0798515,7.591703853,50.82493614,16.33370769,0.101952491,6.876467407
114,tt0052357, Vertigo 1958 1080p BluRay X264 AMIABLE  ,8.3,74.46808511,1958,3815,1377,42.79804739,58.97962225,11.97167756,17.58110726,41.22664554,18.73303167,25.11789526,23.01637501,21.95635316,27.90141877,35.09263859,25.69759114,37.33423263,17.40661722,38.03539744,15.59579509,35.84356261,9.556615439,22.65315581,30.72205127,0.172066677,2.651575616
115,tt0910970, WALL +E en  ,8.4,76.59574468,2008,1400,693,79.47420661,71.71685186,22.2020202,9.73661988,31.722419,4.135864136,4.537234917,7.317413769,0,7.996056247,21.07527963,18.43206054,13.21037685,14.5004649,32.44149894,2.324178554,5.008517948,4.21980422,6.108517857,34.76268931,0.693198117,1.956503055
116,tt2582802, Whiplash 720p fiveofseven no cinavia  ,8.5,78.72340426,2014,3395,1247,44.53839748,60.93678406,2.643945469,15.53536228,36.06765328,5.363025106,20.80233066,15.58837985,6.734807606,12.57846938,27.96968515,17.48349261,29.29239511,17.11198592,31.52381294,9.041371423,32.53801652,11.72543835,17.28222849,23.18032343,42.30483892,57.74184047
117,tt0051201, Witness For The Prosecution 1957 720p BluRay x264  YTS AM  RVA  ,8.3,74.46808511,1957,7569,3039,53.89544513,64.34315895,19.52813425,33.41011948,29.85730952,25.46434809,34.66080198,28.92292668,33.71481475,40.59663114,22.18807252,22.69862906,44.0367847,17.14564463,57.66315109,19.60982636,35.71718118,13.47171456,29.65122173,62.76028098,0.479041305,3.432768455
118,tt5311514, Your Name 2016 English Dub 1080p Bluray x264 Rapta en  ,8.3,74.46808511,2016,4218,1697,54.11902983,53.53519585,5.180907484,9.66670978,34.34402957,5.06686007,12.04359145,10.7077005,4.948912837,13.23766469,11.79518567,10.6770547,26.78464236,9.147618362,13.2276418,6.960209434,20.30839713,14.6474701,13.29784525,19.97885437,0.689685016,7.126865035
119,tt3148266,12 Monkeys S04E11 The Beginning Pt 2 720p AMZN WEBRip DDP5 1 x264 NTG 2  ,7.6,59.57446809,2015,1571.26087,624.7608696,52.66210746,51.02546831,6.914423289,22.82182998,37.46688356,20.28691991,30.02323752,22.68837615,24.41436899,36.5631708,31.85859807,24.97500308,45.5261292,14.6572829,32.56765737,15.38935308,42.4750044,12.07855044,21.62471566,33.26305282,8.012656973,8.727794078
